"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1679.98547404771/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x2b06f8bbca8a6f3bee3e75f2435acccbe1e46cf909467ba09e9879b6bb3fbeb8","18331844","1697083619","2023-10-12 04:06:59","0x1787bd4a8f98446c806b63e62915508d9bb0c0c0","","0x1a97a257917640319ebe6d8f773fd2888e80291b","0","0","0","0.012698447365597875","21.3332071171638","1539.43","","","0x6642b594"
"0x93744baef1aaedf12d0b0cb748c64fcb89ec8f90fd28a7e2fc2aaa0e22c46a3f","18331845","1697083631","2023-10-12 04:07:11","0x1787bd4a8f98446c806b63e62915508d9bb0c0c0","0x1a97a257917640319ebe6d8f773fd2888e80291b","","0","0","0","0.00086105957315213","1.4465675751853","1539.43","","","Admin Mint"
"0x16884b5bc794326dc267643dfb9f825f809fe034d330d9025d0e839bcfbcae96","18331882","1697084075","2023-10-12 04:14:35","0x1787bd4a8f98446c806b63e62915508d9bb0c0c0","0x1a97a257917640319ebe6d8f773fd2888e80291b","","0","0","0","0.00018029646522125","0.302895442593848","1539.43","","","Set Is Live"
"0xf7aad0704f19e1a2fd9c1c27ae0ddbf706a3951be334b91ec4fe30f9f691a909","18331939","1697084771","2023-10-12 04:26:11","0x1787bd4a8f98446c806b63e62915508d9bb0c0c0","0x1a97a257917640319ebe6d8f773fd2888e80291b","","0","0","0","0.000169256885675732","0.284349109317784","1539.43","","","Set Is Live"
"0x8d4553806bd40b176d966ce417243026450fc9537fb5e169f31f7482d273d96b","18334955","1697121143","2023-10-12 14:32:23","0x1787bd4a8f98446c806b63e62915508d9bb0c0c0","0x1a97a257917640319ebe6d8f773fd2888e80291b","","0","0","0","0.00030242224046625","0.508064971012264","1539.43","","","Set Is Live"
"0x2b802b1a6cadb2f183033402a000519deb1038dff87a360664e9723ce244d0db","18334973","1697121359","2023-10-12 14:35:59","0x7902dc17644cb68fc421d3889e77bdd8125fddb0","0x1a97a257917640319ebe6d8f773fd2888e80291b","","0.0142","0","23.8557937314775","0.00147876360775356","2.48430138057637","1539.43","","","Whitelist Mint"
"0xaaab082ac371845f1338dfb5513f3e4c5781c44ab3130c3eff17e9a4c703a887","18334973","1697121359","2023-10-12 14:35:59","0x73ccca7296dfedb88bfd68ceda833d8d79abb35f","0x1a97a257917640319ebe6d8f773fd2888e80291b","","0.0142","0","23.8557937314775","0.0014792274972078","2.48508070812105","1539.43","","","Whitelist Mint"
"0xf8190089c429c6c0b759a841df72a3b22dcb16a1c3226cc3b06d738a44d2ba63","18335037","1697122139","2023-10-12 14:48:59","0x6c27da33bdcbde39c288715cf6d77c191c802abd","0x1a97a257917640319ebe6d8f773fd2888e80291b","","0.018777","0","31.5450872461939","0.001132649797976554","1.90283520778368","1539.43","","","Mint"
"0xbe012f31c52250148f94ab912d769b5d278afc2ba7abe01284e100ec582963a8","18335052","1697122319","2023-10-12 14:51:59","0xf5d856113910e77fb02a07d15236907c6ee7395c","0x1a97a257917640319ebe6d8f773fd2888e80291b","","0.0169","0","28.3917545114063","0.002311788539552646","3.88377116551842","1539.43","","","Mint"
"0x3e44651f5571657e9ae6994f7ffbf1e579d570d7ab2aff8a282212ef8b21b6d6","18335114","1697123075","2023-10-12 15:04:35","0x6517d689d4d4dd8c2e4abd79b2c7c07c1babf672","0x1a97a257917640319ebe6d8f773fd2888e80291b","","0.0169","0","28.3917545114063","0.002329625810361904","3.91373752137462","1539.43","","","Mint"
"0x8d247b3259006f9a72522bda8fc5d42b84b94c2b264068376d94711433e928c9","18335118","1697123123","2023-10-12 15:05:23","0x7d1b8315a841c616a36b3ec9cb25a54cd955bf2c","0x1a97a257917640319ebe6d8f773fd2888e80291b","","0.0142","0","23.8557937314775","0.0017781814941228","2.98731908034676","1539.43","","","Whitelist Mint"
"0xfdc722f981212c46f6b7e1a4b3bc9cef260201018a1c1cd92349e33c16100a89","18335120","1697123147","2023-10-12 15:05:47","0x1787bd4a8f98446c806b63e62915508d9bb0c0c0","0x1a97a257917640319ebe6d8f773fd2888e80291b","","0","0","0","0.004832249983754592","8.118109779675","1539.43","","","Admin Mint"
"0x372a59686af90a353dd3d234a500817ae81b602355b6b80937f26dcf97fc8cfc","18335127","1697123243","2023-10-12 15:07:23","0x44f6498d1403321890f3f2917e00f22dbde3577a","0x1a97a257917640319ebe6d8f773fd2888e80291b","","0.0142","0","23.8557937314775","0.001899926209256892","3.19184843331411","1539.43","","","Whitelist Mint"
"0xe8a5278205b27e34da0a75978576abd32eb3919e6731a1483f61cba0c73250f9","18335146","1697123471","2023-10-12 15:11:11","0x49aef3924a006cb6eaeaf2c2dc627fe1026f86df","0x1a97a257917640319ebe6d8f773fd2888e80291b","","0.0142","0","23.8557937314775","0.001971214748631","3.31161214392869","1539.43","","","Whitelist Mint"
"0xb0609f9d4b9af6610131ff2e8459f83e11626ffeceb2568e1ea1b007a270956b","18335153","1697123555","2023-10-12 15:12:35","0x5af4260ecb953d03b6899111a641639314b7ebb7","0x1a97a257917640319ebe6d8f773fd2888e80291b","","0.018777","0","31.5450872461939","0.001379882502544882","2.318182560168","1539.43","","","Mint"
